U 29 | F 059392 | FPS 0572 | D 124 | rR: 0.22 0.38 0.00 0.94 | F: 135.3 114.0 5.0 487.0 | H 1.929 | V 0.065 | pL 0.009 | vL 0.002 | dL 0.014
U 30 | F 061440 | FPS 0563 | D 128 | rR: 0.17 0.35 0.00 0.97 | F: 175.6 228.2 7.0 1000.0 | H 1.927 | V 0.065 | pL -0.001 | vL 0.007 | dL 0.029
Status saved
U 31 | F 063488 | FPS 0585 | D 131 | rR: 0.17 0.37 0.00 0.99 | F: 294.6 396.8 2.0 1000.0 | H 1.922 | V 0.091 | pL 0.002 | vL 0.009 | dL 0.025
U 32 | F 065536 | FPS 0576 | D 135 | rR: 0.40 0.46 0.00 0.99 | F: 275.4 356.5 9.0 1000.0 | H 1.917 | V 0.089 | pL -0.021 | vL 0.012 | dL 0.036
U 33 | F 067584 | FPS 0572 | D 138 | rR: 0.37 0.43 0.00 0.97 | F: 194.3 225.1 3.0 1000.0 | H 1.909 | V 0.088 | pL -0.001 | vL 0.006 | dL 0.024
U 34 | F 069632 | FPS 0574 | D 142 | rR: 0.21 0.36 0.00 0.89 | F: 243.4 297.3 3.0 1000.0 | H 1.928 | V 0.083 | pL 0.012 | vL 0.003 | dL 0.015
U 35 | F 071680 | FPS 0590 | D 145 | rR: 0.15 0.32 0.00 0.89 | F: 287.3 294.5 21.0 1000.0 | H 1.934 | V 0.067 | pL 0.015 | vL 0.000 | dL 0.007
U 36 | F 073728 | FPS 0568 | D 149 | rR: 0.16 0.33 0.00 0.97 | F: 128.6 174.2 3.0 590.0 | H 1.927 | V 0.066 | pL -0.004 | vL 0.007 | dL 0.018
U 37 | F 075776 | FPS 0560 | D 153 | rR: 0.10 0.26 0.00 0.93 | F: 251.6 322.7 3.0 1000.0 | H 1.934 | V 0.060 | pL 0.014 | vL 0.000 | dL 0.006
U 38 | F 077824 | FPS 0589 | D 156 | rR: 0.11 0.30 0.00 0.96 | F: 243.9 316.5 15.0 1000.0 | H 1.937 | V 0.057 | pL -0.002 | vL 0.005 | dL 0.014
U 39 | F 079872 | FPS 0573 | D 160 | rR: 0.17 0.36 0.00 0.96 | F: 135.1 229.8 3.0 1000.0 | H 1.933 | V 0.052 | pL 0.001 | vL 0.004 | dL 0.014
U 40 | F 081920 | FPS 0564 | D 163 | rR: 0.13 0.30 0.00 0.96 | F: 254.0 325.4 5.0 1000.0 | H 1.939 | V 0.046 | pL 0.005 | vL 0.002 | dL 0.010
Status saved
U 41 | F 083968 | FPS 0563 | D 167 | rR: 0.17 0.36 0.00 1.00 | F: 219.2 315.1 1.0 1000.0 | H 1.933 | V 0.045 | pL -0.006 | vL 0.006 | dL 0.018
U 42 | F 086016 | FPS 0588 | D 171 | rR: 0.17 0.36 0.00 1.00 | F: 211.0 311.1 3.0 1000.0 | H 1.940 | V 0.021 | pL 0.004 | vL 0.000 | dL 0.003
U 43 | F 088064 | FPS 0571 | D 174 | rR: 0.19 0.35 0.00 1.00 | F: 266.1 340.4 3.0 1000.0 | H 1.938 | V 0.022 | pL -0.002 | vL 0.002 | dL 0.007
U 44 | F 090112 | FPS 0561 | D 178 | rR: 0.19 0.35 0.00 1.00 | F: 299.2 277.0 5.0 1000.0 | H 1.939 | V 0.026 | pL 0.005 | vL 0.000 | dL 0.006
U 45 | F 092160 | FPS 0590 | D 181 | rR: 0.10 0.26 0.00 0.86 | F: 287.1 321.2 6.0 1000.0 | H 1.925 | V 0.032 | pL -0.008 | vL 0.005 | dL 0.014
U 46 | F 094208 | FPS 0572 | D 185 | rR: 0.15 0.32 0.00 0.87 | F: 182.9 260.0 4.0 1000.0 | H 1.932 | V 0.031 | pL -0.000 | vL 0.002 | dL 0.011
U 47 | F 096256 | FPS 0568 | D 189 | rR: 0.14 0.31 0.00 1.00 | F: 183.8 263.0 4.0 1000.0 | H 1.931 | V 0.023 | pL 0.004 | vL 0.002 | dL 0.009
U 48 | F 098304 | FPS 0568 | D 192 | rR: 0.00 0.00 0.00 0.00 | F: 170.3 240.8 6.0 980.0 | H 1.937 | V 0.021 | pL 0.005 | vL 0.000 | dL 0.003
U 49 | F 100352 | FPS 0597 | D 196 | rR: 0.12 0.32 0.00 0.99 | F: 204.6 315.3 6.0 1000.0 | H 1.936 | V 0.031 | pL -0.008 | vL 0.006 | dL 0.018
U 50 | F 102400 | FPS 0561 | D 199 | rR: 0.18 0.38 0.00 0.99 | F: 194.8 265.2 6.0 1000.0 | H 1.932 | V 0.043 | pL 0.001 | vL 0.003 | dL 0.020
Status saved
U 51 | F 104448 | FPS 0560 | D 203 | rR: 0.21 0.37 0.00 0.98 | F: 194.0 261.6 9.0 1000.0 | H 1.922 | V 0.050 | pL -0.020 | vL 0.010 | dL 0.034
U 52 | F 106496 | FPS 0561 | D 207 | rR: 0.28 0.42 0.00 1.00 | F: 151.4 185.2 1.0 616.0 | H 1.921 | V 0.075 | pL -0.010 | vL 0.009 | dL 0.027
U 53 | F 108544 | FPS 0575 | D 210 | rR: 0.00 0.00 0.00 0.00 | F: 218.3 314.7 21.0 1000.0 | H 1.911 | V 0.047 | pL 0.012 | vL 0.001 | dL 0.017
U 54 | F 110592 | FPS 0574 | D 214 | rR: 0.12 0.30 0.00 0.95 | F: 201.9 288.7 3.0 1000.0 | H 1.918 | V 0.047 | pL -0.009 | vL 0.005 | dL 0.019
U 55 | F 112640 | FPS 0572 | D 217 | rR: 0.06 0.21 0.00 0.88 | F: 184.1 197.8 5.0 790.0 | H 1.919 | V 0.049 | pL 0.007 | vL 0.002 | dL 0.014
U 56 | F 114688 | FPS 0591 | D 221 | rR: 0.00 0.00 0.00 0.00 | F: 124.9 131.4 10.0 399.0 | H 1.929 | V 0.039 | pL 0.012 | vL 0.000 | dL 0.008
U 57 | F 116736 | FPS 0564 | D 225 | rR: 0.05 0.19 0.00 0.79 | F: 152.4 173.1 10.0 688.0 | H 1.938 | V 0.034 | pL 0.006 | vL 0.001 | dL 0.007
U 58 | F 118784 | FPS 0564 | D 228 | rR: 0.11 0.29 0.00 0.96 | F: 161.8 166.8 9.0 688.0 | H 1.941 | V 0.031 | pL 0.005 | vL 0.001 | dL 0.005
U 59 | F 120832 | FPS 0579 | D 232 | rR: 0.06 0.23 0.00 0.96 | F: 169.9 219.1 2.0 724.0 | H 1.943 | V 0.022 | pL 0.005 | vL 0.000 | dL 0.002
U 60 | F 122880 | FPS 0580 | D 235 | rR: 0.08 0.21 0.00 0.66 | F: 226.2 282.4 2.0 1000.0 | H 1.939 | V 0.028 | pL -0.007 | vL 0.003 | dL 0.009
Status saved
U 61 | F 124928 | FPS 0561 | D 239 | rR: 0.13 0.27 0.00 0.83 | F: 239.5 266.4 2.0 1000.0 | H 1.940 | V 0.033 | pL -0.002 | vL 0.003 | dL 0.012
U 62 | F 126976 | FPS 0563 | D 243 | rR: 0.22 0.34 0.00 0.91 | F: 277.4 259.0 8.0 1000.0 | H 1.942 | V 0.034 | pL -0.005 | vL 0.003 | dL 0.015
U 63 | F 129024 | FPS 0549 | D 246 | rR: 0.16 0.31 0.00 0.91 | F: 322.3 322.0 11.0 1000.0 | H 1.939 | V 0.027 | pL 0.001 | vL 0.001 | dL 0.007
U 64 | F 131072 | FPS 0550 | D 250 | rR: 0.11 0.27 0.00 1.00 | F: 290.9 318.3 4.0 1000.0 | H 1.939 | V 0.037 | pL 0.000 | vL 0.003 | dL 0.010
U 65 | F 133120 | FPS 0566 | D 254 | rR: 0.24 0.39 0.00 0.99 | F: 284.6 321.5 12.0 1000.0 | H 1.931 | V 0.055 | pL -0.015 | vL 0.010 | dL 0.025
U 66 | F 135168 | FPS 0548 | D 258 | rR: 0.25 0.38 0.00 0.99 | F: 166.6 165.2 1.0 691.0 | H 1.931 | V 0.059 | pL -0.004 | vL 0.005 | dL 0.019
U 67 | F 137216 | FPS 0583 | D 261 | rR: 0.16 0.34 0.00 0.98 | F: 157.7 233.0 1.0 1000.0 | H 1.937 | V 0.044 | pL 0.010 | vL 0.002 | dL 0.007
U 68 | F 139264 | FPS 0570 | D 265 | rR: 0.06 0.24 0.00 0.98 | F: 148.8 241.3 4.0 1000.0 | H 1.942 | V 0.039 | pL 0.008 | vL 0.000 | dL 0.002
U 69 | F 141312 | FPS 0568 | D 268 | rR: 0.15 0.33 0.00 0.96 | F: 208.6 261.9 4.0 1000.0 | H 1.939 | V 0.046 | pL -0.012 | vL 0.007 | dL 0.017
