U 32 | F 065536 | FPS 0499 | D 129 | rR:0.00 0.00 0.00 0.00 | F:697.6 315.3 169.0 1000.0 | H 1.946 | V -0.002 | pL -0.001 | vL 0.000 |dL 0.000
U 33 | F 067584 | FPS 0535 | D 133 | rR:0.00 0.00 0.00 0.00 | F:738.0 299.0 171.0 1000.0 | H 1.946 | V -0.002 | pL -0.000 | vL 0.000 |dL 0.000
U 34 | F 069632 | FPS 0479 | D 137 | rR:0.00 0.00 0.00 0.00 | F:665.8 337.1 171.0 1000.0 | H 1.946 | V -0.001 | pL -0.000 | vL 0.000 |dL 0.000
U 35 | F 071680 | FPS 0480 | D 141 | rR:0.00 0.00 0.00 0.00 | F:715.9 346.2 171.0 1000.0 | H 1.946 | V -0.001 | pL -0.000 | vL 0.000 |dL 0.000
U 36 | F 073728 | FPS 0557 | D 145 | rR:0.00 0.00 0.00 0.00 | F:627.4 354.6 135.0 1000.0 | H 1.946 | V -0.001 | pL -0.000 | vL 0.000 |dL 0.000
U 37 | F 075776 | FPS 0574 | D 149 | rR:0.00 0.00 0.00 0.00 | F:568.2 371.1 45.0 1000.0 | H 1.946 | V -0.001 | pL -0.000 | vL 0.000 |dL 0.000
U 38 | F 077824 | FPS 0577 | D 152 | rR:0.00 0.00 0.00 0.00 | F:453.1 344.7 45.0 1000.0 | H 1.946 | V -0.001 | pL -0.000 | vL 0.000 |dL 0.000
U 39 | F 079872 | FPS 0568 | D 156 | rR:0.00 0.00 0.00 0.00 | F:395.8 320.5 45.0 1000.0 | H 1.946 | V -0.001 | pL -0.000 | vL 0.000 |dL 0.000
U 40 | F 081920 | FPS 0538 | D 160 | rR:0.00 0.00 0.00 0.00 | F:406.7 351.0 45.0 1000.0 | H 1.946 | V -0.001 | pL -0.000 | vL 0.000 |dL 0.000
Status saved
U 41 | F 083968 | FPS 0577 | D 163 | rR:0.00 0.00 0.00 0.00 | F:371.1 316.3 7.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
U 42 | F 086016 | FPS 0571 | D 167 | rR:0.00 0.00 0.00 0.00 | F:464.6 368.4 7.0 1000.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 |dL 0.000
